N° del Establecimiento,Nombre del Establecimiento,Direccion,Mesa,Total de votantes,Cantidad de votantes,Hora,GOB-Votos afirmativos,GOB-Votos en blanco,SEN-Votos afirmativos,SEN-Votos en blanco,DIP-Votos afirmativos,DIP-Votos en blanco,INT-Votos afirmativos,INT-Votos en blanco,CNJ-Votos afirmativos,CNJ-Votos en blanco,Votos nulos
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-306,3002,348,42,10:30,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-307,3003,348,33,10:30,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-308,3004,348,40,10:30,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-309,3005,348,31,10:30,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-299,2995,348,90,13:00,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-300,2996,348,100,13:00,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-301,2997,348,85,13:00,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-302,2998,348,95,13:00,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-303,2999,348,120,13:00,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-304,3000,348,97,13:00,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-305,3001,348,101,13:00,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-306,3002,348,95,13:00,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-307,3003,348,112,13:00,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-308,3004,348,92,13:00,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-309,3005,348,81,13:00,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-299,2995,348,135,15:30,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-300,2996,348,140,15:30,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-301,2997,348,125,15:30,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-302,2998,348,150,15:30,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-303,2999,348,146,15:30,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-304,3000,348,135,15:30,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-305,3001,348,148,15:30,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-306,3002,348,134,15:30,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-307,3003,348,152,15:30,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-308,3004,348,148,15:30,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-309,3005,348,132,15:30,,,,,,,,,,,
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-299,2995,348,211,19:00,188,23,184,27,188,23,194,27,183,28,0
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-300,2996,348,211,19:00,204,7,198,13,200,11,199,12,198,13,0
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-301,2997,348,200,19:00,186,14,182,18,179,21,174,26,172,28,0
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-302,2998,348,192,19:00,181,11,180,12,178,14,180,12,175,17,0
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-303,2999,348,222,19:00,206,16,203,19,198,24,204,18,200,22,0
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-304,3000,348,201,19:00,180,21,184,17,182,19,185,16,176,25,0
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-305,3001,348,221,19:00,204,17,199,22,200,21,200,21,193,28,0
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-306,3002,348,221,19:00,204,17,193,28,195,26,196,25,191,30,0
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-307,3003,348,217,19:00,202,15,202,15,199,18,200,17,200,17,0
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-308,3004,348,204,19:00,184,20,180,24,175,29,183,21,177,27,0
5175,María Magdalena De Macacha Güemes,A. Cornejo 251-309,3005,348,200,19:00,189,10,183,16,184,15,187,12,181,18,1
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3040,348,39,10:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3041,348,34,10:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3042,348,42,10:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3043,348,31,10:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3044,348,35,10:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3045,348,38,10:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3046,348,36,10:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3047,348,26,10:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3048,348,28,10:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3049,348,30,10:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3050,348,35,10:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3051,348,30,10:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3052,348,34,10:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3053,348,35,10:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3040,348,90,13:00,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3041,348,87,13:00,,,,,,,,,,,
